"","ara","fdr"
"OG0000711",0.999317293801696,1
"OG0000717",0.91734363895539,1
"OG0000719",0.999773121023461,1
"OG0000729",0.877138146336233,1
"OG0000730",0.998335942125249,1
"OG0000737",0.014060587688254,0.4333325177238
"OG0000743",0.992424350619223,1
"OG0000744",0.534618030970139,1
"OG0000746",0.9994864910367,1
"OG0000755",0.559363192963779,1
"OG0000767",0.999559865610317,1
"OG0000768",0.135067599514818,1
"OG0000769",0.999489352646435,1
"OG0000776",0.62516668240004,1
"OG0000780",0.192455865587091,1
"OG0000781",0.999953255697719,1
"OG0000787",0.999964130806632,1
"OG0000790",0.999772701192698,1
"OG0000791",0.547156152139334,1
"OG0000799",0.999079179465616,1
"OG0000808",0.999997001566729,1
"OG0000815",0.589940513645076,1
"OG0000817",0.999918120485988,1
"OG0000826",0.99624640621813,1
"OG0000833",0.999824803408247,1
"OG0000864",0.353066454081263,1
"OG0000865",0.353066454081263,1
"OG0000868",0.999979919429594,1
"OG0000869",0.999290611389127,1
"OG0000873",0.999964130806632,1
"OG0000884",0.999987220007466,1
"OG0000889",0.999725391689833,1
"OG0000893",0.999651393049188,1
"OG0000897",0.999665977975688,1
"OG0000900",0.999426498156604,1
"OG0000909",0.999656604987508,1
"OG0000916",0.990957833090801,1
"OG0000927",0.822197050075504,1
"OG0000932",0.990957833090801,1
"OG0000933",0.999656604987508,1
"OG0000934",0.298199276044583,1
"OG0000940",0.353066454081263,1
"OG0000974",0.999905849057993,1
"OG0000992",0.999803525598776,1
"OG0001006",0.993159149083791,1
"OG0001027",0.311085706308108,1
"OG0001035",0.99995595518612,1
"OG0001045",0.355043342740265,1
"OG0001047",0.0462462791693682,1
"OG0001060",0.999452248825328,1
"OG0001101",0.999387465436832,1
"OG0001110",0.999964130806632,1
"OG0001149",0.446344817949897,1
"OG0001168",0.997469092232509,1
"OG0001172",0.640797521820992,1
"OG0001212",0.999434249226436,1
"OG0001216",0.0732662021443761,1
"OG0001224",0.323521867031476,1
"OG0001316",0.442122663656488,1
"OG0001346",0.998021310860187,1
"OG0001394",0.999785618496581,1
"OG0001395",0.99987227661741,1
"OG0001397",0.999717033849498,1
"OG0001427",0.999979667567189,1
"OG0001428",0.99218897410536,1
"OG0001472",0.999905375773366,1
"OG0001474",0.584271012546065,1
"OG0001487",0.54819360647106,1
"OG0001496",0.353066454081263,1
"OG0001514",0.550715488140883,1
"OG0001544",0.999680258895267,1
"OG0001554",0.999656604987508,1
"OG0001558",0.99968503923241,1
"OG0001623",0.998021310860187,1
"OG0001630",0.999317293801696,1
"OG0001672",0.999513180017099,1
"OG0001680",0.998147642271548,1
"OG0001707",0.998093091235274,1
"OG0001864",0.998021310860187,1
"OG0001865",0.999680258895267,1
"OG0001977",0.994589647768399,1
"OG0002000",0.998093091235274,1
"OG0002035",0.353066454081263,1
"OG0002306",0.999656604987508,1
"OG0002509",0.999656604987508,1
"OG0002560",0.999472120915992,1
"OG0002601",0.678663999419098,1
"OG0002608",0.999665977975688,1
"OG0002844",0.994469680332383,1
"OG0002876",0.353066454081263,1
"OG0002881",0.999744613645991,1
"OG0003332",0.353066454081263,1
"OG0003380",0.998193390575061,1
"OG0003482",0.353066454081263,1
"OG0003487",0.353066454081263,1
"OG0003811",0.999068011140744,1
"OG0003979",0.353066454081263,1
"OG0003991",0.999317293801696,1
"OG0004106",0.584271012546065,1
"OG0004354",0.999687547439348,1
"OG0004435",0.999068011140744,1
"OG0004802",0.353066454081263,1
"OG0004808",0.999665977975688,1
"OG0004877",0.999317293801696,1
"OG0004890",0.998147642271548,1
"OG0005067",0.999317293801696,1
"OG0005068",0.999987220007466,1
"OG0005138",0.998093091235274,1
"OG0005184",0.999068011140744,1
"OG0005201",0.999317293801696,1
"OG0005491",0.353066454081263,1
"OG0005560",0.999317293801696,1
"OG0005561",0.999317293801696,1
"OG0005562",0.999687547439348,1
"OG0005564",0.999338755724345,1
"OG0005758",0.538443967294397,1
"OG0005760",0.999680258895267,1
"OG0005761",0.353066454081263,1
"OG0005857",0.998021310860187,1
"OG0005975",0.997932886231946,1
"OG0006155",0.999755513443721,1
"OG0006251",0.998147642271548,1
"OG0006294",0.999326642271492,1
"OG0006366",0.399533314600793,1
"OG0006505",0.353066454081263,1
"OG0006510",0.999317293801696,1
"OG0006512",0.998021310860187,1
"OG0006615",0.999639961746586,1
"OG0006616",0.999317293801696,1
"OG0006688",0.353066454081263,1
"OG0006826",0.999665977975688,1
"OG0006872",0.990957833090801,1
"OG0006873",0.0875424457677342,1
"OG0007117",0.478890904254273,1
"OG0007232",0.999943345128028,1
"OG0007478",0.999317293801696,1
"OG0007508",0.998021310860187,1
"OG0007569",0.984331720048843,1
"OG0007638",0.999540168239346,1
"OG0007639",0.999680258895267,1
"OG0007643",0.999524605338142,1
"OG0007644",0.353066454081263,1
"OG0007656",0.999317293801696,1
"OG0007661",0.999955562263177,1
"OG0007665",0.999317293801696,1
"OG0007668",0.640797521820992,1
"OG0007669",0.99995595518612,1
"OG0007671",0.999678998644905,1
"OG0007674",0.999656604987508,1
"OG0007677",0.999656604987508,1
"OG0007678",0.999317293801696,1
"OG0007679",0.999987220007466,1
"OG0007680",0.997496945609242,1
"OG0007681",0.998021310860187,1
"OG0007683",0.353066454081263,1
"OG0007696",0.999317293801696,1
"OG0007704",0.948717452825052,1
"OG0007705",0.999317293801696,1
"OG0007712",0.353066454081263,1
"OG0007716",0.999656604987508,1
"OG0007719",0.999317293801696,1
"OG0007722",0.994469680332383,1
"OG0007723",0.353066454081263,1
"OG0007727",0.999513180017099,1
"OG0007728",0.998021310860187,1
"OG0007730",0.999680258895267,1
"OG0007736",0.998021310860187,1
"OG0007737",0.998093091235274,1
"OG0007739",0.999585062285565,1
"OG0007742",0.999489352646435,1
"OG0007744",0.999680258895267,1
"OG0007750",0.353066454081263,1
"OG0007752",0.999489352646435,1
"OG0007755",0.999919307817939,1
"OG0007757",0.999680258895267,1
"OG0007758",0.99968503923241,1
"OG0007759",0.353066454081263,1
"OG0007764",0.353066454081263,1
"OG0007769",0.999834964464794,1
"OG0007774",0.353066454081263,1
"OG0007775",0.999585062285565,1
"OG0007777",0.998147642271548,1
"OG0007780",0.478890904254273,1
"OG0007782",0.999747232884003,1
"OG0007783",0.999317293801696,1
"OG0007796",0.99968503923241,1
"OG0007807",0.353066454081263,1
"OG0007808",0.999755513443721,1
"OG0007812",0.998021310860187,1
"OG0007813",0.999513180017099,1
"OG0007814",0.999680258895267,1
